住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県加古川市加古川町篠原町,34.7688917,134.8394381,877
兵庫県加古川市加古川町寺家町,34.7691387,134.8353438,"1,058"
兵庫県加古川市加古川町本町,34.7691046,134.8306641,"1,093"
兵庫県加古川市加古川町木村,34.7646426,134.8259839,"1,625"
兵庫県加古川市加古川町稲屋,34.7590194,134.8142814,"3,023"
兵庫県加古川市加古川町友沢,34.7678761,134.8142814,878
兵庫県加古川市加古川町西河原,34.7690356,134.8213033,"1,151"
兵庫県加古川市加古川町粟津,34.7613738,134.833004,"2,134"
兵庫県加古川市加古川町北在家,34.7547322,134.833004,"1,710"
兵庫県加古川市加古川町備後,34.7593713,134.8242287,894
兵庫県加古川市加古川町南備後,34.7560326,134.8218884,852
兵庫県加古川市加古川町大野,34.7754153,134.8622428,"1,760"
兵庫県加古川市加古川町中津,34.7758789,134.84938,"2,502"
兵庫県加古川市加古川町河原,34.7725094,134.8423624,"2,137"
兵庫県加古川市加古川町溝之口,34.7669928,134.8447017,"1,810"
兵庫県加古川市加古川町平野,34.7603525,134.8447017,"1,453"
兵庫県加古川市加古川町美乃利,34.7659364,134.8517189,"2,126"
兵庫県加古川市神野町神野,34.7761032,134.8821146,357
兵庫県加古川市神野町西条,34.7843911,134.8809459,579
兵庫県加古川市神野町西条山手１丁目,34.7892584,134.8853283,126
兵庫県加古川市神野町西条山手２丁目,34.785808,134.8862048,238
兵庫県加古川市神野町石守,34.7732985,134.8762708,"1,454"
兵庫県加古川市神野町西之山,34.7826461,134.8680883,115
兵庫県加古川市神野町福留,34.7672853,134.8867891,246
兵庫県加古川市神野町新神野１丁目,34.7901245,134.8698418,107
兵庫県加古川市神野町新神野２丁目,34.7929129,134.8733487,553
兵庫県加古川市神野町新神野３丁目,34.791426,134.876147,365
兵庫県加古川市神野町新神野４丁目,34.792277,134.883289,150
兵庫県加古川市神野町新神野５丁目,34.79011,134.876344,115
兵庫県加古川市神野町新神野６丁目,34.7883329,134.8707186,256
兵庫県加古川市神野町新神野７丁目,34.7875382,134.8759786,309
兵庫県加古川市神野町新神野８丁目,34.7866815,134.8718875,191
兵庫県加古川市神野町日岡苑,34.778626,134.866627,212
兵庫県加古川市神野町山手１丁目,34.779172,134.8862048,276
兵庫県加古川市神野町山手２丁目,34.7848056,134.8841549,333
兵庫県加古川市神野町山手３丁目,34.782045,134.890452,547
兵庫県加古川市神野町石守１丁目,34.7642568,134.8809726,109
兵庫県加古川市神野町石守２丁目,34.7703847,134.8748098,56
兵庫県加古川市神野町石守３丁目,34.7718958,134.8733487,59
兵庫県加古川市神野町福留１丁目,34.7673861,134.8812381,91
兵庫県加古川市野口町野口,34.75269,134.8563965,"2,340"
兵庫県加古川市野口町古大内,34.7438017,134.8517189,"1,230"
兵庫県加古川市野口町二屋,34.7449598,134.8587351,"1,270"
兵庫県加古川市野口町坂井,34.7390757,134.8487952,999
兵庫県加古川市野口町長砂,34.7442945,134.8435321,"3,191"
兵庫県加古川市野口町良野,34.7537118,134.8447017,"2,090"
兵庫県加古川市野口町坂元,34.7579089,134.8511342,627
兵庫県加古川市野口町水足,34.7643836,134.8669193,"1,561"
兵庫県加古川市野口町北野,34.7572161,134.8704263,"3,760"
兵庫県加古川市野口町坂元北１丁目,34.7602627,134.8514266,35
兵庫県加古川市野口町坂元北２丁目,34.7594453,134.8531807,164
兵庫県加古川市野口町坂元北３丁目,34.7589004,134.8543501,103
兵庫県加古川市野口町坂元北４丁目,34.7594621,134.8555195,38
兵庫県加古川市野口町坂元北５丁目,34.7608412,134.8549348,78
兵庫県加古川市平岡町西谷,34.7403534,134.8721798,360
兵庫県加古川市平岡町高畑,34.7373644,134.8797772,"2,129"
兵庫県加古川市平岡町土山,34.7285782,134.8891261,"4,192"
兵庫県加古川市平岡町山之上,34.7312188,134.8715953,"1,518"
兵庫県加古川市平岡町二俣,34.7372635,134.8657502,"3,036"
兵庫県加古川市平岡町中野,34.7305882,134.8610736,652
兵庫県加古川市平岡町八反田,34.7286031,134.8546425,171
兵庫県加古川市平岡町一色,34.7386,134.8593197,"1,429"
兵庫県加古川市平岡町新在家,34.7489254,134.8715953,"8,061"
兵庫県加古川市平岡町新在家１丁目,34.7429628,134.8695496,305
兵庫県加古川市平岡町新在家２丁目,34.7448869,134.8677961,336
兵庫県加古川市平岡町新在家３丁目,34.7454234,134.8654579,184
兵庫県加古川市平岡町一色西１丁目,34.7396725,134.8546425,265
兵庫県加古川市平岡町一色西２丁目,34.7380035,134.8534731,472
兵庫県加古川市平岡町一色東１丁目,34.7378975,134.8578581,162
兵庫県加古川市平岡町一色東２丁目,34.736782,134.8566888,152
兵庫県加古川市平岡町一色東３丁目,34.7354027,134.8572735,77
兵庫県加古川市平岡町つつじ野,34.7431283,134.8733487,412
兵庫県加古川市尾上町養田,34.7485101,134.8154518,"2,347"
兵庫県加古川市尾上町池田,34.7352953,134.8248138,"2,418"
兵庫県加古川市尾上町長田,34.7447157,134.8259839,"2,050"
兵庫県加古川市尾上町安田,34.7492148,134.8353438,"1,650"
兵庫県加古川市尾上町今福,34.7524478,134.8236436,"1,162"
兵庫県加古川市尾上町口里,34.7392335,134.833004,"3,510"
