住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県姫路市坂元町,34.8336639,134.6866792,88
兵庫県姫路市本町,34.8377955,134.6924002,281
兵庫県姫路市西二階町,34.8321672,134.6899065,158
兵庫県姫路市福中町,34.8329035,134.6868259,142
兵庫県姫路市十二所前町,34.8307583,134.6869726,136
兵庫県姫路市南町,34.8293272,134.6897598,64
兵庫県姫路市南畝町,34.8263973,134.6871193,38
兵庫県姫路市久保町,34.8287443,134.686239,188
兵庫県姫路市忍町,34.82958,134.6868259,341
兵庫県姫路市高尾町,34.8284527,134.6844786,93
兵庫県姫路市総社本町,34.8331211,134.6965072,146
兵庫県姫路市南畝町１丁目,34.8268103,134.6868259,62
兵庫県姫路市南畝町２丁目,34.8248764,134.6874127,301
兵庫県姫路市西駅前町,34.8282802,134.6887329,37
兵庫県姫路市白銀町,34.8309986,134.6909333,37
兵庫県姫路市立町,34.8309185,134.6896131,34
兵庫県姫路市魚町,34.832007,134.687266,20
兵庫県姫路市塩町,34.831786,134.6856522,117
兵庫県姫路市綿町,34.8321352,134.6944537,138
兵庫県姫路市亀井町,34.8298396,134.6931336,48
兵庫県姫路市駅前町,34.827957,134.6915201,34
兵庫県姫路市古二階町,34.8307648,134.6962138,182
兵庫県姫路市元塩町,34.8316004,134.6968005,355
兵庫県姫路市平野町,34.8310656,134.6991472,179
兵庫県姫路市坂田町,34.8331401,134.6988538,272
兵庫県姫路市朝日町,34.8277233,134.6968005,232
兵庫県姫路市神屋町６丁目,34.828578,134.6997338,190
兵庫県姫路市北条口１丁目,34.8279859,134.6950404,101
兵庫県姫路市北条口２丁目,34.8293754,134.6956271,245
兵庫県姫路市北条口３丁目,34.8292536,134.6976805,269
兵庫県姫路市北条口４丁目,34.8301644,134.6990005,80
兵庫県姫路市北条口５丁目,34.8308029,134.7009071,133
兵庫県姫路市二階町,34.8316421,134.693427,57
兵庫県姫路市呉服町,34.8309474,134.6931336,48
兵庫県姫路市紺屋町,34.8303887,134.6925469,45
兵庫県姫路市東駅前町,34.8288023,134.6932803,206
兵庫県姫路市同心町,34.8398845,134.7025203,109
兵庫県姫路市五郎右衛門邸,34.8424422,134.7020803,99
兵庫県姫路市堺町,34.8382748,134.7003205,46
兵庫県姫路市竹田町,34.8393166,134.7007604,30
兵庫県姫路市福居町,34.8394621,134.7016404,55
