住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県明石市松が丘１丁目,34.6575124,135.0285682,1054
兵庫県明石市松が丘２丁目,34.6542094,135.0262354,833
兵庫県明石市松が丘３丁目,34.6553321,135.0239028,446
兵庫県明石市松が丘４丁目,34.6499486,135.0224449,881
兵庫県明石市松が丘５丁目,34.6503777,135.020404,496
兵庫県明石市松が丘北町,34.6598654,135.0282766,352
兵庫県明石市大蔵谷奥,34.6582302,135.0247775,332
兵庫県明石市東山町,34.65933649999999,135.0247775,326
兵庫県明石市朝霧北町,34.6564546,135.0215703,575
兵庫県明石市朝霧台,34.6570318,135.0180717,477
兵庫県明石市朝霧山手町,34.6559415,135.0157395,322
兵庫県明石市朝霧南町１丁目,34.6452749,135.0183632,135
兵庫県明石市朝霧南町２丁目,34.64652969999999,135.0169056,511
兵庫県明石市朝霧南町３丁目,34.6464056,135.0148649,408
兵庫県明石市朝霧南町４丁目,34.6482135,135.0134073,521
兵庫県明石市朝霧東町１丁目,34.6520453,135.0192378,266
兵庫県明石市朝霧東町２丁目,34.6515164,135.0157395,532
兵庫県明石市朝霧東町３丁目,34.6488828,135.016614,302
兵庫県明石市朝霧町１丁目,34.6471233,135.0110754,393
兵庫県明石市朝霧町２丁目,34.6491956,135.0113668,244
兵庫県明石市朝霧町３丁目,34.6522178,135.0142819,256
兵庫県明石市北朝霧丘１丁目,34.6585827,135.0136989,408
兵庫県明石市北朝霧丘２丁目,34.6585985,135.0113668,211
兵庫県明石市東朝霧丘,34.654306,135.0122413,876
兵庫県明石市中朝霧丘,34.6561136,135.0107839,430
兵庫県明石市西朝霧丘,34.6566745,135.0096179,258
兵庫県明石市荷山町,34.6582014,135.0087435,379
兵庫県明石市東野町,34.6504581,135.0087435,1863
兵庫県明石市太寺大野町,34.6537925,135.0064117,360
兵庫県明石市太寺天王町,34.6576875,135.0029143,509
兵庫県明石市太寺１丁目,34.651596,135.0040801,458
兵庫県明石市太寺２丁目,34.65450939999999,135.0026229,338
兵庫県明石市太寺３丁目,34.6520324,135.0008743,256
兵庫県明石市太寺４丁目,34.6554909,135.0005828,395
兵庫県明石市東人丸町,34.6488226,135.0052459,534
兵庫県明石市人丸町,34.649267,135.0008743,268
兵庫県明石市山下町,34.6499446,134.9970857,447
兵庫県明石市上ノ丸１丁目,34.6527178,134.9982514,439
兵庫県明石市上ノ丸２丁目,34.6538083,134.9959199,340
兵庫県明石市上ノ丸３丁目,34.6554753,134.9970857,377
兵庫県明石市鷹匠町,34.6538932,134.9880502,671
兵庫県明石市茶園場町,34.6548512,134.9865927,493
兵庫県明石市大蔵八幡町,34.6447703,135.0113668,414
兵庫県明石市大蔵町,34.6449428,135.0064117,265
兵庫県明石市大蔵中町,34.6456442,135.0049544,260
兵庫県明石市大蔵本町,34.6453796,135.0032057,253
兵庫県明石市大蔵天神町,34.6453875,135.00204,272
兵庫県明石市天文町１丁目,34.6473352,135.0002914,112
兵庫県明石市天文町２丁目,34.646229,135.0002914,168
兵庫県明石市相生町１丁目,34.6445697,134.9997086,343
兵庫県明石市相生町２丁目,34.6453796,134.9967943,536
兵庫県明石市中崎１丁目,34.6443705,134.9955892,183
兵庫県明石市中崎２丁目,34.6438204,134.9912565,676
兵庫県明石市鍛治屋町,34.6456362,134.9938797,105
兵庫県明石市桜町,34.6467584,134.9962114,578
兵庫県明石市東仲ノ町,34.6478646,134.9962114,597
兵庫県明石市大明石町１丁目,34.6488067,134.9924224,774
兵庫県明石市大明石町２丁目,34.6493198,134.9865927,554
兵庫県明石市本町１丁目,34.646033,134.9912565,529
兵庫県明石市本町２丁目,34.6471233,134.9889246,499
兵庫県明石市材木町,34.6443494,134.9877587,337
兵庫県明石市樽屋町,34.6471072,134.9865927,752
兵庫県明石市日富美町,34.64487829999999,134.9842605,284
兵庫県明石市大観町,34.6448972,134.9819595,377
兵庫県明石市港町,34.6421367,134.9877587,376
兵庫県明石市岬町,34.6421041,134.9830944,383
兵庫県明石市西新町１丁目,34.65206149999999,134.9830944,369
兵庫県明石市西新町２丁目,34.650939,134.9807622,776
兵庫県明石市西新町３丁目,34.6488747,134.9822198,527
兵庫県明石市北王子町,34.6584186,134.9825114,521
兵庫県明石市王子１丁目,34.6559255,134.9819283,235
兵庫県明石市王子２丁目,34.654258,134.9807622,407
兵庫県明石市南王子町,34.6466456,134.9798875,328
兵庫県明石市大道町１丁目,34.6564546,134.9784297,360
兵庫県明石市大道町２丁目,34.6552079,134.9781382,264
兵庫県明石市硯町１丁目,34.6536806,134.9772635,251
兵庫県明石市硯町２丁目,34.6509228,134.9784297,718
兵庫県明石市硯町３丁目,34.6514515,134.9749309,776
兵庫県明石市田町１丁目,34.6485696,134.9781382,324
兵庫県明石市田町２丁目,34.6470422,134.9772635,367
兵庫県明石市新明町,34.6486772,134.9737646,257
兵庫県明石市船上町,34.643987,134.9755141,366
兵庫県明石市和坂稲荷町,34.65600939999999,134.9740562,98
兵庫県明石市宮の上,34.6535077,134.9723066,654
兵庫県明石市立石１丁目,34.6524095,134.973473,140
