住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県西宮市湯元町,34.7780404,135.3143478,25
兵庫県西宮市鷲林寺１丁目,34.77598529999999,135.3117072,33
兵庫県西宮市鷲林寺町,34.77378910000001,135.3093601,38
兵庫県西宮市柏堂町,34.7637704,135.3140544,393
兵庫県西宮市北山町,34.7678803,135.319336,8
兵庫県西宮市甲陽園目神山町,34.7689253,135.3263792,754
兵庫県西宮市甲陽園東山町,34.76633930000001,135.3363588,779
兵庫県西宮市甲陽園山王町,34.7647084,135.3328363,458
兵庫県西宮市甲陽園西山町,34.763099,135.3269661,793
兵庫県西宮市甲陽園若江町,34.7595989,135.3307817,293
兵庫県西宮市甲陽園本庄町,34.760273,135.3328363,890
兵庫県西宮市甲陽園日之出町,34.7626212,135.3337169,494
兵庫県西宮市新甲陽町,34.7630126,135.3363588,604
兵庫県西宮市神園町,34.756968,135.3304882,1113
兵庫県西宮市獅子ケ口町,34.7586638,135.3269661,972
兵庫県西宮市甑岩町,34.7592505,135.3234444,327
兵庫県西宮市毘沙門町,34.7588588,135.3208033,128
兵庫県西宮市角石町,34.7592933,135.3187491,102
兵庫県西宮市西平町,34.7564677,135.3246183,463
兵庫県西宮市美作町,34.7560868,135.3208033,293
兵庫県西宮市桜町,34.7542716,135.3222705,419
兵庫県西宮市豊楽町,34.7531411,135.3246183,474
兵庫県西宮市松風町,34.7542283,135.3269661,322
兵庫県西宮市石刎町,34.7525541,135.3281401,412
兵庫県西宮市苦楽園一番町,34.7554233,135.3175754,500
兵庫県西宮市苦楽園二番町,34.7593358,135.3140544,451
兵庫県西宮市苦楽園三番町,34.7655275,135.3034928,291
兵庫県西宮市苦楽園四番町,34.756031,135.3117072,394
兵庫県西宮市苦楽園五番町,34.754901,135.3140544,335
兵庫県西宮市樋之池町,34.7520755,135.3199229,1972
兵庫県西宮市老松町,34.7500314,135.3161083,1198
兵庫県西宮市深谷町,34.7476617,135.3175754,331
兵庫県西宮市木津山町,34.7466616,135.3208033,182
兵庫県西宮市松ケ丘町,34.7487272,135.3222705,286
兵庫県西宮市菊谷町,34.7498144,135.3246183,338
兵庫県西宮市南越木岩町,34.7497926,135.3269661,434
兵庫県西宮市松生町,34.7459003,135.3281401,467
兵庫県西宮市久出ケ谷町,34.7464876,135.3246183,420
兵庫県西宮市高塚町,34.7437697,135.3187491,519
兵庫県西宮市殿山町,34.7442915,135.3222705,348
兵庫県西宮市雲井町,34.7431607,135.3246183,248
兵庫県西宮市相生町,34.7431387,135.3269661,346
兵庫県西宮市岡田山（１～３番）,34.7557669,135.3514056,160
兵庫県西宮市愛宕山,34.7556831,135.3492768,899
兵庫県西宮市高座町,34.7554447,135.3451661,1098
兵庫県西宮市一ケ谷町,34.7574241,135.3410558,866
兵庫県西宮市五月ケ丘,34.7581419,135.3384137,520
兵庫県西宮市六軒町,34.7567721,135.3366523,701
兵庫県西宮市神原,34.7558373,135.3328363,902
兵庫県西宮市奥畑,34.7533147,135.3357717,419
兵庫県西宮市大社町,34.7524444,135.3398815,990
兵庫県西宮市能登町,34.751224,135.3516259,790
兵庫県西宮市広田町,34.7518122,135.3481022,963
兵庫県西宮市大畑町,34.7484622,135.3504513,721
兵庫県西宮市平木町,34.7462437,135.3504513,508
兵庫県西宮市中屋町,34.7503233,135.3442853,515
兵庫県西宮市河原町,34.748507,135.3457533,104
兵庫県西宮市青木町,34.7457228,135.3469278,1160
兵庫県西宮市柳本町,34.749095,135.3422301,679
兵庫県西宮市室川町,34.7454846,135.3428173,590
兵庫県西宮市神垣町,34.74911720000001,135.3398815,921
兵庫県西宮市越水町,34.7457898,135.3398815,768
兵庫県西宮市城山,34.7497049,135.3363588,420
兵庫県西宮市桜谷町,34.745812,135.337533,510
兵庫県西宮市西田町,34.7434635,135.3366523,229
兵庫県西宮市満池谷町,34.7475088,135.3340105,414
兵庫県西宮市清水町,34.7447251,135.3351846,270
兵庫県西宮市北名次町,34.7514233,135.3304882,563
兵庫県西宮市名次町,34.7497489,135.3316622,383
兵庫県西宮市南郷町,34.7459977,135.3325428,363
兵庫県西宮市若松町,34.7429422,135.3331299,344
兵庫県西宮市結善町,34.7469873,135.3304882,415
兵庫県西宮市大井手町,34.7436602,135.3304882,404
兵庫県西宮市芦原町,34.7416423,135.3530941,448
兵庫県西宮市神祇官町,34.7399783,135.3530941,550
兵庫県西宮市森下町,34.74402510000001,135.3504513,617
兵庫県西宮市神明町,34.7418065,135.3504513,294
兵庫県西宮市西福町,34.7400237,135.3483959,366
兵庫県西宮市中殿町,34.7427969,135.3483959,536
兵庫県西宮市中須佐町,34.7429609,135.3457533,678
兵庫県西宮市津田町,34.7406009,135.3460469,352
兵庫県西宮市中前田町,34.7429834,135.3434045,724
兵庫県西宮市櫨塚町,34.7403517,135.3431109,881
兵庫県西宮市城ケ堀町,34.7424623,135.3398815,508
兵庫県西宮市江上町,34.7403742,135.3407622,518
兵庫県西宮市末広町,34.7425553,135.3373862,443
兵庫県西宮市分銅町,34.7417998,135.3366523,413
兵庫県西宮市常磐町,34.7406906,135.3366523,474
兵庫県西宮市平松町,34.7395107,135.3367991,429
兵庫県西宮市寿町,34.7418442,135.3319558,515
兵庫県西宮市千歳町,34.7407351,135.3319558,451
兵庫県西宮市安井町,34.7396481,135.3296076,371
兵庫県西宮市羽衣町,34.7409207,135.3269661,562
兵庫県西宮市霞町,34.7398337,135.3246183,521
兵庫県西宮市松園町,34.7398556,135.3222705,647
兵庫県西宮市大谷町,34.7398775,135.3199229,1201
兵庫県西宮市郷免町,34.7370721,135.3234444,551
兵庫県西宮市御茶家所町,34.7381591,135.3257922,231
兵庫県西宮市松下町,34.7359188,135.3281401,652
兵庫県西宮市屋敷町,34.73483179999999,135.3257922,483
兵庫県西宮市弓場町,34.7343105,135.3222705,792
兵庫県西宮市川西町,34.7376029,135.3415109,469
兵庫県西宮市中浜町,34.7319287,135.3249118,326
兵庫県西宮市堀切町,34.7305368,135.3254987,484
兵庫県西宮市上葭原町,34.7294165,135.3266727,606
兵庫県西宮市下葭原町,34.7272093,135.3254987,529
兵庫県西宮市大浜町,34.7253928,135.3269661,331
兵庫県西宮市神楽町,34.73811480000001,135.3304882,594
兵庫県西宮市産所町,34.7380703,135.3351846,666
兵庫県西宮市宮西町,34.7358965,135.3304882,662
兵庫県西宮市市庭町,34.7343631,135.3313687,383
兵庫県西宮市社家町,34.7353085,135.3340105,98
兵庫県西宮市宮前町,34.7319809,135.3340105,419
兵庫県西宮市荒戎町,34.7326881,135.3325428,355
兵庫県西宮市川東町,34.7376029,135.3415109,597
兵庫県西宮市川添町,34.7292415,135.3304882,598
兵庫県西宮市建石町,34.7297624,135.3340105,380
兵庫県西宮市前浜町,34.72741360000001,135.3331299,627
兵庫県西宮市泉町,34.7257497,135.3331299,1186
兵庫県西宮市西波止町,34.7236726,135.3328363,213
兵庫県西宮市和上町,34.7379065,135.3378266,418
兵庫県西宮市六湛寺町,34.738003,135.3422301,394
兵庫県西宮市与古道町,34.7350883,135.3425237,442
兵庫県西宮市今在家町,34.7361607,135.3391476,227
兵庫県西宮市田中町,34.7365256,135.3372394,380
兵庫県西宮市馬場町,34.7351334,135.3378266,765
兵庫県西宮市戸田町,34.7352411,135.3410558,1053
兵庫県西宮市本町,34.7339365,135.3397347,627
兵庫県西宮市用海町,34.7313245,135.3445789,203
兵庫県西宮市浜松原町,34.7274302,135.3457533,578
兵庫県西宮市東浜町,34.7376029,135.3415109,7
兵庫県西宮市東町１丁目,34.7291057,135.3445789,1109
兵庫県西宮市東町２丁目,34.726508,135.3407622,875
兵庫県西宮市石在町,34.7291285,135.3422301,911
兵庫県西宮市久保町,34.7302606,135.3398815,739
兵庫県西宮市鞍掛町,34.7329036,135.3390008,145
兵庫県西宮市浜脇町,34.73250170000001,135.337533,343
兵庫県西宮市浜町,34.7302832,135.337533,486
兵庫県西宮市池田町,34.7380993,135.3466342,645
兵庫県西宮市松原町,34.7376029,135.3415109,772
兵庫県西宮市染殿町,34.734228,135.3454597,493
兵庫県西宮市津門飯田町,34.7372546,135.3621983,14
兵庫県西宮市津門大塚町,34.7378668,135.3563244,1151
兵庫県西宮市津門大箇町,34.73508169999999,135.3574991,992
兵庫県西宮市津門綾羽町,34.7338536,135.3554434,632
兵庫県西宮市津門呉羽町,34.7319293,135.3536814,930
兵庫県西宮市津門稲荷町,34.7361068,135.3519195,654
兵庫県西宮市津門仁辺町,34.7347258,135.3513322,329
兵庫県西宮市津門西口町,34.7351732,135.3481022,711
兵庫県西宮市津門宝津町,34.7329316,135.3504513,464
兵庫県西宮市津門川町,34.7322582,135.3483959,999
兵庫県西宮市津門住江町,34.7296262,135.3481022,587
兵庫県西宮市上甲子園５丁目,34.7339491,135.3598487,411
兵庫県西宮市甲子園春風町,34.7310105,135.362492,522
兵庫県西宮市今津野田町,34.7318717,135.359555,283
兵庫県西宮市今津山中町,34.7307852,135.3572055,700
兵庫県西宮市今津上野町,34.7296641,135.3583802,238
兵庫県西宮市甲子園浜田町,34.7289446,135.3610235,835
兵庫県西宮市甲子園砂田町,34.7290512,135.3642543,316
兵庫県西宮市甲子園六石町,34.7273985,135.3630794,297
兵庫県西宮市甲子園浦風町,34.7263122,135.3607298,996
兵庫県西宮市今津曙町,34.7288609,135.3554434,963
兵庫県西宮市今津水波町,34.7286008,135.3536814,796
兵庫県西宮市甲子園高潮町,34.7240929,135.3607298,507
兵庫県西宮市甲子園洲鳥町,34.7230066,135.3583802,576
兵庫県西宮市甲子園網引町,34.721932,135.3548561,486
兵庫県西宮市今津久寿川町,34.72277,135.3542687,705
兵庫県西宮市今津社前町,34.7251422,135.3528005,138
兵庫県西宮市今津大東町,34.7251191,135.3551497,337
兵庫県西宮市今津二葉町,34.7280691,135.3513322,306
兵庫県西宮市今津出在家町,34.7257316,135.3492768,350
兵庫県西宮市今津港町,34.72351260000001,135.3492768,45
兵庫県西宮市今津巽町,34.72238,135.3516259,1285
兵庫県西宮市今津真砂町,34.7196408,135.3481022,1122
兵庫県西宮市甲子園三保町,34.7293111,135.3660167,238
兵庫県西宮市苦楽園六番町,34.752553,135.3131741,91
兵庫県西宮市鷲林寺南町,34.7704429,135.3117072,257
兵庫県西宮市柏堂西町,34.7637915,135.3117072,205
兵庫県西宮市鷲林寺２丁目,34.7764876,135.3175754,30
兵庫県西宮市剣谷町,34.7676611,135.3128807,252
兵庫県西宮市西宮浜３丁目,34.7189976,135.3287271,48
兵庫県西宮市西宮浜４丁目,34.7140232,135.3306429,3184
兵庫県西宮市本庁,34.7379742,135.3427682,98561
兵庫県西宮市小曽根町１丁目,34.731413,135.3777676,337
兵庫県西宮市小曽根町２丁目,34.7297484,135.3777676,282
兵庫県西宮市小曽根町３丁目,34.7283552,135.3783553,268
兵庫県西宮市小曽根町４丁目,34.7272335,135.3795305,225
兵庫県西宮市小松北町１丁目,34.7258641,135.3777676,535
兵庫県西宮市小松北町２丁目,34.7247542,135.3777676,290
兵庫県西宮市小松東町１丁目,34.72597,135.3809997,115
兵庫県西宮市小松東町２丁目,34.72388,135.3818812,380
兵庫県西宮市小松東町３丁目,34.7222152,135.3818812,530
兵庫県西宮市小松町１丁目,34.7233609,135.3783553,326
兵庫県西宮市小松町２丁目,34.7222391,135.3795305,275
兵庫県西宮市小松西町１丁目,34.7228299,135.3760048,136
兵庫県西宮市小松西町２丁目,34.7206101,135.3760048,567
兵庫県西宮市小松南町１丁目,34.7198536,135.382175,571
兵庫県西宮市小松南町２丁目,34.7203028,135.3789429,135
兵庫県西宮市小松南町３丁目,34.7210114,135.3774738,600
兵庫県西宮市若草町１丁目,34.7286741,135.374242,549
兵庫県西宮市若草町２丁目,34.7267379,135.3736545,805
兵庫県西宮市花園町,34.7260885,135.3692479,675
兵庫県西宮市学文殿町１丁目,34.72382169999999,135.3739483,452
兵庫県西宮市学文殿町２丁目,34.7249552,135.371598,176
兵庫県西宮市里中町１丁目,34.7209055,135.374242,375
兵庫県西宮市里中町２丁目,34.7209174,135.3730669,508
兵庫県西宮市里中町３丁目,34.7216259,135.371598,657
兵庫県西宮市上鳴尾町,34.7227593,135.3692479,1086
兵庫県西宮市甲子園一番町,34.7310234,135.3751234,679
兵庫県西宮市甲子園二番町,34.7317435,135.3724794,378
兵庫県西宮市甲子園三番町,34.7295475,135.3701292,611
兵庫県西宮市甲子園四番町,34.7278947,135.3689542,738
兵庫県西宮市甲子園五番町,34.7268085,135.3666042,777
兵庫県西宮市甲子園六番町,34.7244592,135.365723,646
兵庫県西宮市甲子園七番町,34.7211301,135.365723,1329
兵庫県西宮市甲子園八番町,34.7178245,135.3633732,227
兵庫県西宮市甲子園九番町,34.71506189999999,135.3621983,1625
兵庫県西宮市武庫川町,34.7176577,135.3798244,215
兵庫県西宮市池開町,34.7182487,135.3762986,295
兵庫県西宮市東鳴尾町１丁目,34.7137849,135.3786491,707
兵庫県西宮市東鳴尾町２丁目,34.709912,135.3774738,1025
兵庫県西宮市笠屋町,34.713266,135.3751234,1342
兵庫県西宮市上田東町,34.7060391,135.3762986,632
兵庫県西宮市上田中町,34.7088503,135.3727731,1223
兵庫県西宮市上田西町,34.7110942,135.370423,528
兵庫県西宮市高須町１丁目,34.703041,135.3710105,6323
兵庫県西宮市高須町２丁目,34.706395,135.3686604,3474
兵庫県西宮市鳴尾町１丁目,34.7177296,135.3727731,883
兵庫県西宮市鳴尾町２丁目,34.7145536,135.3713043,736
兵庫県西宮市鳴尾町３丁目,34.71845,135.3701292,512
兵庫県西宮市鳴尾町４丁目,34.7159707,135.3683667,651
兵庫県西宮市鳴尾町５丁目,34.7172341,135.3668979,648
兵庫県西宮市古川町,34.7376029,135.3415109,579
兵庫県西宮市枝川町,34.7097963,135.3616109,2766
兵庫県西宮市甲子園町,34.720634,135.3598487,1277
兵庫県西宮市南甲子園１丁目,34.7173284,135.3574991,1234
兵庫県西宮市南甲子園２丁目,34.7184615,135.3551497,915
兵庫県西宮市南甲子園３丁目,34.7195944,135.3528005,491
兵庫県西宮市浜甲子園１丁目,34.713043,135.3560308,573
兵庫県西宮市浜甲子園２丁目,34.7134797,135.3539751,713
兵庫県西宮市浜甲子園３丁目,34.7157224,135.3516259,625
兵庫県西宮市浜甲子園４丁目,34.7173985,135.3504513,536
兵庫県西宮市鳴尾浜１丁目,34.6997834,135.3639606,30
兵庫県西宮市鳴尾,34.7163601,135.3710105,46798
兵庫県西宮市堤町,34.7582423,135.371598,665
兵庫県西宮市上之町,34.7532615,135.370423,1248
兵庫県西宮市日野町,34.7507365,135.3733607,800
兵庫県西宮市荒木町,34.7549598,135.3668979,499
兵庫県西宮市大森町,34.7499561,135.3680729,1189
兵庫県西宮市薬師町,34.7544391,135.3633732,993
兵庫県西宮市伏原町,34.7539184,135.3598487,774
兵庫県西宮市高木東町,34.7500017,135.3633732,1163
兵庫県西宮市高木西町,34.7505905,135.3598487,698
兵庫県西宮市長田町,34.7476528,135.362492,163
兵庫県西宮市北口町,34.7483945,135.3574991,760
