住所（スプレッドシート用）,世帯数,Latitude,Longitude
兵庫県高砂市979,25,34.7657623,134.7920031
兵庫県高砂市652,27,34.7657623,134.7920031
兵庫県高砂市398,10,34.7657623,134.7920031
兵庫県高砂市491,10,34.7657623,134.7920031
兵庫県高砂市362,53,34.7657623,134.7920031
兵庫県高砂市132,17,34.7657623,134.7920031
兵庫県高砂市264,18,34.7657623,134.7920031
兵庫県高砂市418,18,34.7657623,134.7920031
兵庫県高砂市975,31,34.7657623,134.7920031
兵庫県高砂市561,10,34.7657623,134.7920031
兵庫県高砂市632,11,34.7657623,134.7920031
兵庫県高砂市185,44,34.7657623,134.7920031
兵庫県高砂市140,17,34.7657623,134.7920031
兵庫県高砂市252,17,34.7657623,134.7920031
兵庫県高砂市885,21,34.7657623,134.7920031
兵庫県高砂市716,11,34.7657623,134.7920031
兵庫県高砂市795,11,34.7657623,134.7920031
兵庫県高砂市計,39,34.7657623,134.7920031
兵庫県高砂市653,225,34.7657623,134.7920031
兵庫県高砂市117,43,34.7657623,134.7920031
兵庫県高砂市761,84,34.7657623,134.7920031
兵庫県高砂市計,40,34.7657623,134.7920031
兵庫県高砂市636,41,34.7657623,134.7920031
兵庫県高砂市968,44,34.7657623,134.7920031
兵庫県高砂市434,86,34.7657623,134.7920031
兵庫県高砂市109,75,34.7657623,134.7920031
兵庫県高砂市135,93,34.7657623,134.7920031
兵庫県高砂市131,132,34.7657623,134.7920031
兵庫県高砂市57,48,34.7657623,134.7920031
兵庫県高砂市118,71,34.7657623,134.7920031
兵庫県高砂市123,112,34.7657623,134.7920031
兵庫県高砂市162,79,34.7657623,134.7920031
兵庫県高砂市16,63,34.7657623,134.7920031
兵庫県高砂市計,983,34.7657623,134.7920031
兵庫県高砂市851,673,34.7657623,134.7920031
兵庫県高砂市209,244,34.7657623,134.7920031
兵庫県高砂市百合丘,374,34.7703008,134.8055026
兵庫県高砂市376,420,34.7657623,134.7920031
兵庫県高砂市宮前町,14,34.74328819999999,134.8012449
兵庫県高砂市14,16,34.7657623,134.7920031
兵庫県高砂市214,251,34.7657623,134.7920031
兵庫県高砂市美保里,600,34.772515,134.8055026
兵庫県高砂市685,747,34.7657623,134.7920031
兵庫県高砂市南浜町,18,34.7657623,134.7920031
兵庫県高砂市20,18,34.7657623,134.7920031
兵庫県高砂市222,248,34.7657623,134.7920031
兵庫県高砂市219,221,34.7657623,134.7920031
兵庫県高砂市東宮町,95,34.7416337,134.803454
兵庫県高砂市93,98,34.7657623,134.7920031
兵庫県高砂市県営高砂鉄筋団地,163,34.750864,134.7946365
兵庫県高砂市125,182,34.7657623,134.7920031
兵庫県高砂市132,140,34.7657623,134.7920031
兵庫県高砂市戎町,113,34.7430041,134.801698
兵庫県高砂市89,101,34.7657623,134.7920031
兵庫県高砂市169,174,34.7657623,134.7920031
兵庫県高砂市384,446,34.7425107,134.9010253
兵庫県高砂市西宮町,22,34.7376029,135.3415109
兵庫県高砂市14,26,34.7657623,134.7920031
兵庫県高砂市29,28,34.7657623,134.7920031
兵庫県高砂市田町,31,34.7657623,134.7920031
兵庫県高砂市25,32,34.7657623,134.7920031
兵庫県高砂市260,285,34.7657623,134.7920031
兵庫県高砂市143,163,34.7657623,134.7920031
兵庫県高砂市92,105,34.7657623,134.7920031
兵庫県高砂市魚町,35,34.8310704,134.6923075
兵庫県高砂市33,42,34.7657623,134.7920031
兵庫県高砂市219,236,34.7657623,134.7920031
兵庫県高砂市173,165,34.7657623,134.7920031
兵庫県高砂市大工町,11,34.7657623,134.7920031
兵庫県高砂市11,13,34.7657623,134.7920031
兵庫県高砂市286,292,34.7657623,134.7920031
兵庫県高砂市52,53,34.7657623,134.7920031
兵庫県高砂市釣船町,39,34.7657623,134.7920031
兵庫県高砂市41,43,34.7657623,134.7920031
兵庫県高砂市日之出町,209,34.7657623,134.7920031
兵庫県高砂市208,213,34.7657623,134.7920031
兵庫県高砂市422,468,34.7657623,134.7920031
兵庫県高砂市狩網町,24,34.7657623,134.7920031
兵庫県高砂市20,30,34.7657623,134.7920031
兵庫県高砂市紙町,295,34.7591746,134.7984784
兵庫県高砂市314,323,34.7657623,134.7920031
兵庫県高砂市60,70,34.7657623,134.7920031
兵庫県高砂市猟師町,26,34.7657623,134.7920031
兵庫県高砂市28,22,34.443701,134.8739874
兵庫県高砂市13,19,34.7657623,134.7920031
兵庫県高砂市南本町,59,34.74637999999999,134.802611
兵庫県高砂市53,65,34.7657623,134.7920031
兵庫県高砂市482,462,34.7657623,134.7920031
兵庫県高砂市359,384,34.7657623,134.7920031
兵庫県高砂市南渡海町,33,34.7657623,134.7920031
兵庫県高砂市43,41,34.772231,134.8099299
兵庫県高砂市329,286,34.7657623,134.7920031
兵庫県高砂市325,345,34.7657623,134.7920031
兵庫県高砂市北渡海町,17,34.7781102,134.7710225
兵庫県高砂市21,27,34.7657623,134.7920031
兵庫県高砂市304,313,34.7657623,134.7920031
兵庫県高砂市229,239,34.7657623,134.7920031
兵庫県高砂市横町,41,34.7657623,134.7920031
兵庫県高砂市48,56,34.7657623,134.7920031
兵庫県高砂市211,242,34.7657623,134.7920031
兵庫県高砂市295,347,,
兵庫県高砂市北本町,31,,
兵庫県高砂市29,27,,
兵庫県高砂市585,543,,
兵庫県高砂市204,191,,
兵庫県高砂市材木町,28,,
